1	0	100	6.99	1
1	0	200	7.00	0
1	0	300	7.00	0
1	0	400	7.00	0
1	0	500	7.00	0
1	0	600	7.00	0
1	0	700	7.00	0
1	0	800	7.00	0
1	0	900	7.00	1
1	0	1000	7.00	0
1	0	2000	7.00	0
1	0	3000	7.00	1
1	0	4000	7.00	0
1	0	5000	7.00	1
1	0	6000	7.00	1
1	0	7000	7.00	1
1	0	8000	7.00	1
1	0	9000	7.00	1
1	0	10000	7.00	2
1	0	20000	7.04	4
1	0	30000	7.08	7
1	0	40000	7.14	9
1	0	50000	7.22	11
1	0	60000	7.29	14
1	0	70000	7.37	16
1	0	80000	7.75	20
1	0	90000	7.83	21
1	0	100000	7.90	23
1	1	100	7.90	0
1	1	200	7.90	0
1	1	300	7.90	0
1	1	400	7.90	1
1	1	500	7.90	0
1	1	600	7.90	0
1	1	700	7.90	0
1	1	800	7.90	0
1	1	900	7.90	0
1	1	1000	7.90	0
1	1	2000	7.90	1
1	1	3000	7.90	0
1	1	4000	7.90	1
1	1	5000	7.90	1
1	1	6000	7.90	1
1	1	7000	7.90	1
1	1	8000	7.90	2
1	1	9000	7.90	2
1	1	10000	7.90	2
1	1	20000	7.90	4
1	1	30000	7.90	7
1	1	40000	7.90	10
1	1	50000	7.90	12
1	1	60000	7.90	14
1	1	70000	7.90	17
1	1	80000	7.90	20
1	1	90000	7.90	24
1	1	100000	7.90	26
1	2	100	7.90	0
1	2	200	7.90	0
1	2	300	7.90	0
1	2	400	7.90	0
1	2	500	7.90	0
1	2	600	7.90	0
1	2	700	7.90	0
1	2	800	7.90	0
1	2	900	7.90	1
1	2	1000	7.90	0
1	2	2000	7.90	0
1	2	3000	7.90	0
1	2	4000	7.90	1
1	2	5000	7.90	1
1	2	6000	7.90	1
1	2	7000	7.90	1
1	2	8000	7.90	1
1	2	9000	7.90	1
1	2	10000	7.90	2
1	2	20000	7.90	3
1	2	30000	7.90	5
1	2	40000	7.90	6
1	2	50000	7.90	9
1	2	60000	7.90	11
1	2	70000	7.90	12
1	2	80000	7.90	15
1	2	90000	7.90	18
1	2	100000	7.90	18
